"Story","Title","Result","Date","Stability","Duration (s)"
"Deletesong","Delete song","ERROR","2018-09-04T11:35:31.3233873-05:00[America/Bogota]","0.0","0.15"
"Songs by genre","filter songs by genre - positive","ERROR","2018-09-04T11:35:22.9010837-05:00[America/Bogota]","0.0","4.59"
"Songs by genre","filter songs by genre - negative","ERROR","2018-09-04T11:35:27.4998483-05:00[America/Bogota]","0.0","0.06"
"Songs by id","Filter songs by id - positive","ERROR","2018-09-04T11:35:27.5688497-05:00[America/Bogota]","0.0","0.39"
"Songs by id","Filter songs by id - negative","ERROR","2018-09-04T11:35:27.9628366-05:00[America/Bogota]","0.0","0.01"
"List of instances","List with all the instances - Positive","ERROR","2018-09-04T11:35:27.9788353-05:00[America/Bogota]","0.0","0.02"
"List of instances","List with the instances of an specific provided store - Positive","ERROR","2018-09-04T11:35:27.9988361-05:00[America/Bogota]","0.0","0.35"
"List of instances","List with the instances of an non-existent provided store - Negative","ERROR","2018-09-04T11:35:28.3508285-05:00[America/Bogota]","0.0","0.01"
"Top five songs","See the top five more listened songs","ERROR","2018-09-04T11:35:28.3678303-05:00[America/Bogota]","0.0","0.04"
"Updatesong","Update song","ERROR","2018-09-04T11:35:31.4803787-05:00[America/Bogota]","0.0","0.3"
